期号,开奖日期,开奖号码,销售额,奖池金额,一等奖注数,一等奖金额,二等奖注数,二等奖金额
2025027,2025-03-13(四),"05,07,08,15,16,23 + 06",394720204.0,1938498165.0,,,,
2025026,2025-03-11(二),"09,10,12,14,19,32 + 07",392951650.0,1952743893.0,,,,
2025025,2025-03-09(日),"12,15,21,23,25,30 + 02",429174194.0,1936093458.0,,,,
2025024,2025-03-06(四),"10,11,22,27,30,32 + 15",390568100.0,1900501646.0,,,,
2025023,2025-03-04(二),"09,12,13,24,25,33 + 07",386827864.0,1866674645.0,,,,
2025022,2025-03-02(日),"11,17,18,20,28,30 + 10",439339144.0,1888281245.0,,,,
2025021,2025-02-27(四),"07,08,16,18,25,32 + 14",406699544.0,1838921415.0,,,,
2025020,2025-02-25(二),"04,11,13,16,26,30 + 15",397475096.0,1882831619.0,,,,
2025019,2025-02-23(日),"05,13,17,18,22,23 + 11",426478858.0,1878573590.0,,,,
2025018,2025-02-20(四),"03,09,18,21,28,29 + 11",389691430.0,1842439055.0,,,,
2025017,2025-02-18(二),"04,12,15,18,28,29 + 05",385907866.0,1857043294.0,,,,
2025016,2025-02-16(日),"02,03,12,16,20,29 + 14",422332862.0,1818910823.0,,,,
2025015,2025-02-13(四),"04,11,15,24,25,33 + 15",381850646.0,1778497050.0,,,,
2025014,2025-02-11(二),"06,07,09,13,21,27 + 05",376048608.0,1847958110.0,,,,
2025013,2025-02-09(日),"04,14,16,23,24,30 + 14",400862420.0,1866519971.0,,,,
2025012,2025-02-06(四),"07,11,13,18,27,31 + 11",384392632.0,1841105218.0,,,,
2025011,2025-01-26(日),"06,13,17,22,24,29 + 11",460490078.0,1811025553.0,,,,
2025010,2025-01-23(四),"04,06,07,16,17,21 + 08",385376562.0,1767703481.0,,,,
2025009,2025-01-21(二),"02,04,11,12,23,25 + 06",375791606.0,1921378198.0,,,,
2025008,2025-01-19(日),"09,14,16,17,25,33 + 11",419205612.0,1942395126.0,,,,
2025007,2025-01-16(四),"07,08,14,18,21,27 + 11",388819806.0,1861548871.0,,,,
2025006,2025-01-14(二),"01,07,08,17,20,22 + 06",388340672.0,1824655469.0,,,,
2025005,2025-01-12(日),"10,16,19,27,28,30 + 09",424386010.0,1858064417.0,,,,
2025004,2025-01-09(四),"03,07,17,27,29,32 + 04",391221400.0,1887440945.0,,,,
2025003,2025-01-07(二),"10,19,20,26,28,29 + 15",396515706.0,1885210987.0,,,,
2025002,2025-01-05(日),"09,12,13,15,22,26 + 11",439670530.0,1854289576.0,,,,
2025001,2025-01-02(四),"02,03,17,18,22,33 + 16",404437376.0,1792900594.0,,,,
